sentiment_label,stars,sentiment_confidence,text,text_length
Very Positive,1,0.85,"do not let this restaurant cater your party!!! i recently had a cinco de mayo birthday party that was for 30+ people.  i had ordered approximately $250 in food 5 days before the event.  i called on the morning of the event and was assured that everything would be perfect.  when almost an hour had passed and the food had still not arrived, i called the restaurant manager.  i was given every excuse under the sun including that they had never received my order.  however suddenly they miraculously found my order and told me it would be 45 more minutes.  i sent two of my guests to get the order instead and the food was ""only"" 1 1/2 hrs late.  this was a very important party for me and thankfully everyone was having such a great time that it wasn't disastrous, but it very well could have been!  i spent a lot of money on the party and the manager didn't take a penny off the bill even though he totally screwed up the order!  i personally feel that because it was close to mother's day, they got slammed at the restaurant and he just totally blew my order off!  i will never ever go to this restaurant again and certainly will never rely on them to cater a party for me!",1176
Very Positive,3,0.839,"we are going to eat their again to celebrate my graduation from radiation treatments.  i am going to be a breast cancer survivor!! the service , the food, and the atmosphere is wonderful! this has become my favorite place to eat!! so i would suggest to all my friends and anyone else reading this -  go their and have a wonder meal!",333
Very Positive,3,0.838,"i feel a little weird/sad as i post these mere three stars because honestly, these noodle soups are the best i've ever had! they have the most incredible flavor that i have not found with any of their competitors. they are thoughtful with their marinated vegetable toppings which include mushrooms, green beans, scallions, and peanuts. their portion sizes are wonderful, and no matter which one you order, you're always going to have fantastic, comforting spoonfuls of deliciousness. the three stars however, is due to the lack of vegan options. my personal opinion is that in this day and age you must have good vegan/vegetarian options. they advertise vegan and vegetarian options but they are truly meeger. you must offer tofu and vegetable broth at a ramen place if you are trying to appeal to vegans and vegetarians, period. i ordered the shrimp, but honestly, i didn't want to. i normally order fried tofu for my protein which they do not offer. if they had an organic tofu option for protein, a vegetable broth option, and if they were flexible on substituting one broth for another(my husband always prefers beef broth, which they have, but they would not substitute the chicken broth for the beef broth for his soup order), then i would definitely give them five stars in the future! as of now, i don't know if i'll be back. management-please take note!:-)",1366
Very Positive,1,0.833,"stay away!!!!stay away!!!!stay away!!!! today, i went to this store and find so so so so many items were expired. so, check the expired before you wanna buy. second, after i check out, i found they charge me more money. and the cashier just return the money, and said it is normal.(plus never say sorry to me) so, i think they always do like this. anyway, i will never go to this store again. warning!!!!! check the expired day!!! check your receipt!!!",452
Very Positive,1,0.829,i told the lady 6 times i would like three ground beef tacos with one soft !! i went to the window the lady asked again what did you want again ! i said three ground beef tacos and one of them soft !!!  i come home to three all soft tacos !!! i call them back and they want their food back in order for me to get a credit so they can make the order right wtf!!! on three ground beef tacos !!!!  ridiculous and you lost a customer and it will be all over social media this is ridiculous!!!,493
Very Positive,1,0.827,"i'm not from tucson, and to be honest i had pretty low expectations for a boba joint in a city that appears to have low diversity (referring to asians). but this place is amazing. the tea itself is legit. along with the milk. i got a regular chatime milk tea (30% sweetness) and it was the best original milk tea i have had. i'm incredibly surprised it beats all of the milk tea spots i've tried in los angeles. the milk tea at chatime really has the tea flavor that you can tell is high quality. the people behind the counter said they use loose leaf tea to make it which is demonstrated through the delicious flavor.  i highly recommend this place for their milk tea as i can't comment on anything else, but i'll definitely be coming here often when i visit tucson. open earlier please edit (9/16/16): this is super important. they make their own toppings in house. the ginger tea comes from ginger they grate in the back. the banana milk tea comes from real bananas condensed in the back. same with the strawberries, rose, etc. i thought this was ubiquitous to all chatimes but it isn't. i found a chatime in la and was super excited cause i thought they had the same menu as this tucson one. bigmistake. the chatime in la had none. it was all artificial and fake flavorings. since when does tucson beat los angeles in a boba contest?!?!! the tucson chatime that this review is for seriously is amazing. i am in disbelief and disappointed that i only get to go to this chatime four days a year (but twice a day when i'm there). edit (december 2017): sigh. all good things must come to an end. as you've probably read, management has changed. i've gone there several times in 2017 (april, august, october and december) and the drinks have been pitiful each time. they no longer make ingredients fresh, the boba has been stale, and the workers are so unhappy. the staff in 2016 was absolutely amazing and proud of the drinks they made. the current staff must be quickly employees sabotaging chatime because they really don't want to be there. i got my usual ginger milk tea each time i visited and it just isn't the same. today there wasn't even ginger. i'd avoid this place. i think bing's will be my new go to. goodbye once loved chatime. rip.",2250
Very Positive,1,0.822,"one star!! just because you didn't make enough chocolate cake! wtf!!!!!!!!  demetrius!!! great!!! he was awesome but who's responsible for desert really make enough!! chocolate, woman's best answer for life!!! get on board!!",224
Very Positive,2,0.819,"soooo sad!! this has been my go to place for the most amazing fettuccine alfredo in tucson - they used to have beautiful, tender noodles bathed in a rich smooth alfredo. my mouth waters as i think of it. we chose to dine there last night and i ordered my standard with grilled chicken--what i got was a gluey hunk of al dente noodles with a dry, grainy alfredo - i almost cried! talked to the waitress and she said they've recently made some changes --noooooo! bring back the old recipe! why fix it if it wasn't broke!!! gonna give it one more try before moving on.",565
Very Positive,2,0.819,"the food here is hands down amazing!! best middle eastern food in town. the reason for 2 stars is because we had the rudest waitress i have ever seen in my life. it was beyond shocking. also, they allow hookah smoking and i have asthma so we had to leave quickly. for those reasons we won't be back, which is such a shame because the food is great.",348
Very Positive,2,0.813,"i usually never get jimmy johns, i prefer jersey mikes. the one time my friend is like hey let's get jimmy johns i'm like aight let's do it! i get my sandwich and damn! your lettuce is old!! it's literally red. that's so gross. i'm really picky with lettuce so this sent me over the edge! never coming back!!!",309
Very Positive,2,0.811,"been waiting 25 minutes for chicken strips and half order of biscuits and gravy  why??  saw drinks being prepared by a server with no gloves adding fruit to drinks with her hands! eww! food finally arrived after 40 minutes, gravy was sweet. we won't be back! the best thing about our visit was the waitress! zazia was excellent, attentive, kind and cheerful!!",359
Very Positive,2,0.809,"sad! just ordered online delivery & didn't have a good situation. no where on their online menu does it say their chicken hero is breaded (thought it was just going to be a plain chicken breast)- ah! i had to pick off the breaded part, which left very little actually chicken. literally the only extras you get are cheese, mayo, tomato, and lettuce. could they not even spare an onion for this 10 dollar sandwich?  10 dollars! yikes! i also ordered wings and their normal buffalo sauce is very sweet- not what you expect from buffalo wings. the worst part was, the house salad, that actually looks like the best thing i received from my order, came with no fork to eat it with! i guess this is fine because i'm so off put by the flavor of the wings that i've lost my appetite. the delivery was prompt-at least! bottomline- super overpriced for what you get & i didn't even get a napkin or a fork",897
Very Positive,1,0.806,"every single time we get delivery from this place they mess up the entire order!  not only do they screw up the pitas themselves, but they leave out items and still try to charge you for them! then when you call eat a pita to complain about your messed up order to the ""manager"", instead of being apologetic and fixing the problem, he is a total sarcastic jerk about the issue.  from everyone here at umc, say goodbye to our business. i recommend greek house instead! they have the best pitas and they never mess up an order.",525
Very Positive,1,0.805,"will i be back or not?  no, we will not be back this year!  it was a festive place.  packed with people.  the waitress was awesome!!  she was knowledgeable of the menu, wines, etc.  we ordered several tapas, 2 were edible, the rabbit was so salty, it was as if we swallowed the sea!  i ate it because i was hungry and cringed with every bite i took.   we ordered the salmon med rare and it arrived well done!  we ate that too because we figuered they did not know how to cook salmon. the waitress offered for the kitchen to make us new dishes, we refused the offer.  we had already waited so long for our first order but the real reason and truth was; i did not trust the chef!!  we got a shot of sherry for our dissappointment!  as if that corrected the problem!",763
Very Positive,1,0.804,literally the dirtiest playland and mcdonald's i've ever been to! whoever the owner is they should get their shit together before the place gives everybody hepsie for god sake's! i have never seen so many flies in one building. i wouldn't be shocked if there were piles of crap in the corners there were so many!,312
