sentiment_label,stars,sentiment_confidence,text_length,text
Very Positive,2,0.29,2797,"oh my!! i have been waiting, and waiting  for a couple of years now actually to review this place, cause i believe a lot of people will think i am crazy after they read my review. (if anything has changed and the place is better i guess i will never know cause after my experience i never felt like going back in there again) most of my friends love this place, and talk about how good the food is etc. my friend, who is a foodie like me had heard so many good things about it and decided it was time to try it out and she invited me. we got into the place and of course our eyes opened up, the decoration in this place is very sexy. (that and the drink i had is why i am giving it 2 stars) got to sit by the window, which was nice. the waiter came with a board in his arms (menu) and started almost singing the menu by memory.  i was as impressed as i was confused. after that was done he waited for us to chose something, which to me felt like pressure, then he mentioned they had a ""chef's pick"" option, which is basically the chef pics 2 or 3 items on the menu.  i went with that last option because, as i said before, i was to confuse to think. we got a little more time to choose a drink than we did food, for which at that point i was thankful. i picked a flavored martini they had on the menu. it was good i won't lie and say i did not like it, cause i did, plus it was served on a decent size glass.  the food came to the table... i have to stop and sigh now.  i had to take a pause and explore my plate to make sure that what i was served was not the left overs from the day. i am not trying to be rude cause i know putting the plate together must of taken some type of effort, but in my opinion it was a fail. i wish i had a picture but i will try to describe it. on my plate there was a pineapple top, not just a leaf here and there as decoration but the whole thing. also on my plate there was what looked like a half eaten apple. just the top with stem, seeds and all placed on the plate. i moved on and tasted the food. growing up in a hispanic family i know how a corn tamale, and beef stew are suppose to taste. the corn tamale was more of a sweet tamale. it had way to much sugar and was covered on a pumpkin cream, which was to sweet itself. the stew was hard, dry and flavorless. i was not able to eat it. most of both of our plates were left almost intact. i must say our disappointment was as big as the check. 60 dollars for each of us was a fortune for what we were served. which i could say the service, or something other than the decoration and drink (which was not even a well made craft drink, and maybe it was not even that good but compared to the other stuff, i am going to say it was) in my opinion the name of this place goes in hand with how i would describe it."
Very Positive,2,0.29,809,"so i love chipotle, every time i go in to one i have a great experience, delicious food and fast service. well not here. so i get my normal order, a barbacoa bowl with a regular drink. it looks amazing, and as i sit down in notice something in my lettuce. it's a dead bug. so i bring it to the front and i let them know, and they were very apologetic and they remade my bowl. i got to sit down and eat it, and it's half of what the other girl gave me, and it's pretty much just juice from the beans and he forgot my rice. so i take it back up for a third time. still very apologetic and they remade my bowl again, but this time i watch him, and he almost forgets my rice again, so i told him and he was very rude about it. this is probably my least favorite chipotle and i probably won't be eating here again."
Very Positive,2,0.287,450,"this place was a rite of passage for incoming classes. greasy, cheap, filling, and delicious food after a night of house party hunting for those pre-21 nights. the home of the world famous highland burrito... at least through my bittersweet and nostalgic rose tinted glasses. seems like full time management has moved in and removed the magic. its no longer student operated....by students, for students... give me back my glory days. not this mess.."
Very Positive,3,0.286,453,"their gelato in general.... fantastic!!! service in the other hand?  four ding dong teen girls giggling and laughing more worry about what was on a phone then to actually paying attention as we waited, and to top it off the one who gave us our order the worst bad attitude that got even worst than before after i ask her to give me my receipt like mad because i took her away from her phone buddies... management their action reflect on your leadership."
Very Positive,1,0.283,318,"i have been going to romano's macaroni grill for quite awhile, and they have consistently gone down hill. i'm giving 1 star only because the waitstaff is very good. however, if you like cold, dry, burned food, this is thr place to go. that has been my experience during my last 2 visits. tonight will be my last visit."
Very Positive,1,0.282,427,"finally .......finished brunch at elvira's downtown. wow! what an experience!  over two hours to get served (finally), eat and leave.  sat outside , that might have been the only positive part of the dining experience. maybe they are in a learning curve since they are relatively new to downtown.  bad , bad service, and bad food does not make for a winning combination in a crowded downtown restaurant scene.  i say good luck."
Very Positive,1,0.274,83,read my friends chriswell's review! enough said ! please do not support this place!
Very Positive,2,0.273,2821,"i have this mate of mine with a truly voracious sexual appetite.   spicy, sweet, well-aged, full-bodied, whatever...  in simple guy-speak, even a lackluster tête-à-tête is still something better to do than sit at home perfecting skills on guitar hero.  while i have to agree when it comes to matters of the mattress, it doesn't quite jive with matters of the palette. we came into tucson for a few days of frolic and fun and decided to check out elle as recommended from a friend.  first off, the wine selection was excellent, chosen from varietals across the globe by someone who obviously has a true passion for the vin and a complex taste to match.  if i were just reviewing the wine, i would give elle five stars, particularly coupled with the personal attention we received from the manager, who took several minutes out of his time for a wonderful discussion about the textures and characteristics of the selections.  the staff is friendly, down to earth and the unpretentious ambiance seems to reflect this personality.  you can even buy bottles for takeaway at a 30% discount, which my pocketbook appreciates. but then we ordered food (big mistake) and the cuisine is what brings this review down to two stars for me.  french is hard to do, particularly in arizona, but french paired with new american reminds me of that dumpy date that might've looked appealing in the pub the night before, but you just can't get rid of the morning after.   expected hints of roasted red peppers were beaten from the bruschetta by a heavy-handed drowning of bitter olive soup glopped on top of our appetizer.  the escargot served on filo made its own little crimean war on the plate and the results were not pretty.  if only there was enough garlic to keep the peace!  but the pan-seared ahi tuna was where i abandoned all hope.  i'm just a simple girl from alaska, but even i know the difference between pan-seared and bar-b-qued, my friends.  at first i thought perhaps it was a mistake, but after sending it back for a second try (which i hate doing), i got the same dismal, dry, tasteless overcooked results.  it finally dawned on me that the chef was actually doing it on purpose!  what the... molesting tuna like that is a crime.  not sure if the chef last night was also the owner listed on the restaurant website, but man, i hope not. overall this place has wonderful potential, but until they fire the chef de cuisine (or better yet, have him arrested), simplify their approach to the menu and concentrate on what they are good at (the wine... oh the wine!!), then i definitely would drink but not dine.this is the kind of local jewel with a good heart that you really want to see succeed.  but until they make some needed changes, i'll have to chalk it up to an amusing one-night stand and get back to guitar hero."
Very Positive,1,0.271,716,i have been here before.  the rude owner so i thought was not enough to keep me from trying it again last month.  my friend and i went there apparently when she was off.  our two wine tasting waitresses were amazing. one full of great advice and the other full of charm and personality.  we decided to return again after loving this experience only to find the owner yvonne belittling one of the waitresses who was working alone.  the place was also having a party for owner plus had the regular customers to care for.  i will never go back....and my 3 friends felt the same.  such a damn shame. if you don't treat all of your customers well nor your staff then get out of business because word travels fast my dear.
Very Positive,1,0.267,364,bar bouncer. manager rubin came flexing his muscles on me. i was not clearly understanding the lady and was repeating things and was she. he pushed himself in and began to establish an authoritative muscle show. i am 68 years old. hard of hearing. and this guy was ready to throw me out like a bar bouncer. it was scary. yelling at me. never coming in there again.
Very Positive,1,0.265,202,do you have a gross button?! this place seriously needs to keep up with cleanliness and the food also needs so much improvement. i don't know how this place has not been closed by the health department!
Very Positive,3,0.265,459,"i have been eating here for years!  love the owner!   kind of an upgraded hole in the wall. clean, old school.  most people eat the buffet for lunch and today was a lunch visit. the usual tandoori chicken , samosas, dal, palak paneer, etc etc. chutneys...one can have their vegetarian needs met or meat needs.  clean. nothing fancy at all. they no longer have the after dinner spice blend available. that i thought was sad. no lights, except at the buffet."
Very Positive,2,0.258,222,"ehh... a meager 2.5 stars is all that is deserved. that is the first thought in my head regarding this place- from the food (sushi & teppan), the service, even the ambience. this place delivers on nothing other than dull."
Very Positive,1,0.254,307,"for years & years we have followed scott for karaoke. how in the world could sam's on river not do karaoke on saturday nights? we walked in tonight to find out that as of 2 weeks ago they no longer do it on saturdays, which shocked us!!! bring it back cause it's the only reason we go to sam's on saturdays."
Very Positive,3,0.251,131,"reasonably priced. amazing fries. cool concept. i got the habanero wings, disappointed at the fact that they were not spicy at all."
Very Positive,1,0.246,492,"dirtyyyyy! do yourself a favor and skip it. head down the road to ihop or even better, somewhere local. my family came in today and ordered 3 meals. two separate meals each had a hair in each of them, each a different length and color of hair. also, one was made incorrectly. how courteous of the manager to remove one meal from the check. there's seriously something wrong in that kitchen for it to happen twice in 3 meals at 1 table. look at your food before it in your mouth -- dirty!!!!!!"
Very Positive,2,0.226,173,traditional wings were good! nice employees great beer...but my boneless wings...i was shocked of how small the were. 6.75 for 6 boneless. i felt like i didn't eat anything.
Very Positive,3,0.224,214,"may 25, 2018 they were out of 8 out of 27 flavors. that's 30%!  pretty sad.  hopefully, management/ownership will get it together and not let the business fail by letting juvenile employees run it into the ground."
Very Positive,1,0.223,607,"so gross!!! planned to eat here, arrived before our party so we sat for a drink at the bar. michelada was awesome and for that, the one star. but while we were contemplating the menu, a young girl behind the bar (long light brown hair in a pony tail) drop a chip bowl on the ground ( ewww!!!) proceeded to pick it up dip it into the chip bucket scoop up chips and place them into the chip ""drawer"". then as i watched gave said chip bowl to another customer!!! just ewww!!! so, needless to say i will never be back because of that. if you plan to go ... please be aware of what is happening with your meal..."
